ds,y
12/16/2006,1209.176
12/17/2006,3390.46
12/18/2006,2203.826
12/19/2006,1666.194
12/20/2006,2225.748
12/21/2006,1716.624
12/22/2006,2341.338
12/23/2006,4773.386
12/24/2006,2550.012
12/25/2006,2743.12
12/26/2006,3934.11
12/27/2006,1528.76
12/28/2006,2072.638
12/29/2006,3174.392
12/30/2006,2789.302
12/31/2006,3494.196
1/1/2007,2749.004
1/2/2007,1269.236
1/3/2007,1014.054
1/4/2007,3259.412
1/5/2007,2713.364
1/6/2007,1508.378
1/7/2007,2447.62
1/8/2007,2241.36
1/9/2007,1869.054
1/10/2007,2154.8
1/11/2007,2255.194
1/12/2007,1461.296
1/13/2007,3186.814
1/14/2007,3007.816
1/15/2007,2148.678
1/16/2007,1686.404
1/17/2007,2847.688
1/18/2007,1821.462
1/19/2007,1480.44
1/20/2007,3133.732
1/21/2007,3407.262
1/22/2007,2180.494
1/23/2007,1777.64
1/24/2007,2987.854
1/25/2007,1596.344
1/26/2007,1617.972
1/27/2007,2044.072
1/28/2007,3090.204
1/29/2007,1982.664
1/30/2007,1707.798
1/31/2007,2363.752
2/1/2007,1824.76
2/2/2007,1667.736
2/3/2007,4029.722
2/4/2007,3595.94
2/5/2007,1645.28
2/6/2007,1273.48
2/7/2007,2328.018
2/8/2007,1801.414
2/9/2007,1620.198
2/10/2007,2829.328
2/11/2007,3571.228
2/12/2007,1877.61
2/13/2007,1414.546
2/14/2007,2498.672
2/15/2007,1985.346
2/16/2007,1702.528
2/17/2007,2076.912
2/18/2007,3829.762
2/19/2007,2186.614
2/20/2007,3149.928
2/21/2007,2072.874
2/22/2007,3369.478
2/23/2007,1313.48
2/24/2007,714.922
2/25/2007,501.74
2/26/2007,568.484
2/27/2007,518.112
2/28/2007,520.774
3/1/2007,517.564
3/2/2007,515.688
3/3/2007,819.122
3/4/2007,2090.7
3/5/2007,2660.332
3/6/2007,1246.5
3/7/2007,2375.206
3/8/2007,1572.132
3/9/2007,1272.612
3/10/2007,2484.712
3/11/2007,3480.636
3/12/2007,1950.668
3/13/2007,1290.144
3/14/2007,1793.364
3/15/2007,1884.814
3/16/2007,1702.054
3/17/2007,2028.09
3/18/2007,2371.046
3/19/2007,2152.518
3/20/2007,2086.228
3/21/2007,2142.092
3/22/2007,1454.978
3/23/2007,1309.008
3/24/2007,2968.43
3/25/2007,3336.124
3/26/2007,1416.082
3/27/2007,1105.14
3/28/2007,2333.898
3/29/2007,1590.406
3/30/2007,1402.394
3/31/2007,3509.51
4/1/2007,2785.952
4/2/2007,1960.778
4/3/2007,1642.82
4/4/2007,2051.868
4/5/2007,1844.078
4/6/2007,1601.14
4/7/2007,1553.924
4/8/2007,1608.816
4/9/2007,1000.92
4/10/2007,777.364
4/11/2007,887.482
4/12/2007,537.706
4/13/2007,551.022
4/14/2007,554.268
4/15/2007,726.164
4/16/2007,952.39
4/17/2007,1223.734
4/18/2007,998.246
4/19/2007,1028.658
4/20/2007,822.58
4/21/2007,1673.656
4/22/2007,2233.714
4/23/2007,1054.566
4/24/2007,1032.1
4/25/2007,1264.162
4/26/2007,1275.466
4/27/2007,1094.332
4/28/2007,22.738
4/29/2007,0
4/30/2007,420.822
5/1/2007,1663.858
5/2/2007,1003.486
5/3/2007,1090.238
5/4/2007,998.128
5/5/2007,1563.052
5/6/2007,2102.104
5/7/2007,1643.664
5/8/2007,1789.292
5/9/2007,1665.736
5/10/2007,707.884
5/11/2007,979.154
5/12/2007,1441.566
5/13/2007,1634.738
5/14/2007,1467.782
5/15/2007,904.392
5/16/2007,1692.944
5/17/2007,1231.816
5/18/2007,1631.53
5/19/2007,1429.442
5/20/2007,1968.328
5/21/2007,1120.062
5/22/2007,1132.852
5/23/2007,1464.936
5/24/2007,1154.388
5/25/2007,1614.22
5/26/2007,1512.248
5/27/2007,2153.808
5/28/2007,1637.468
5/29/2007,1061.34
5/30/2007,1609.866
5/31/2007,938.55
6/1/2007,1044.918
6/2/2007,1484.362
6/3/2007,2108.026
6/4/2007,911.618
6/5/2007,1458.892
6/6/2007,1693.638
6/7/2007,985.002
6/8/2007,2148.046
6/9/2007,1059.814
6/10/2007,1340.812
6/11/2007,794.654
6/12/2007,918.766
6/13/2007,927.272
6/14/2007,1259.084
6/15/2007,989.604
6/16/2007,2017.762
6/17/2007,1947.09
6/18/2007,678.474
6/19/2007,842.36
6/20/2007,1074.286
6/21/2007,806.946
6/22/2007,566.294
6/23/2007,477.566
6/24/2007,714.656
6/25/2007,1072.202
6/26/2007,944.908
6/27/2007,1480.826
6/28/2007,1295.438
6/29/2007,1304.198
6/30/2007,1335.314
7/1/2007,1026.664
7/2/2007,967.032
7/3/2007,1059.912
7/4/2007,1003.41
7/5/2007,1057.29
7/6/2007,1069.524
7/7/2007,1358.206
7/8/2007,1089.08
7/9/2007,1180.158
7/10/2007,908.324
7/11/2007,722.352
7/12/2007,1069.582
7/13/2007,794.382
7/14/2007,1288.17
7/15/2007,917.024
7/16/2007,853.674
7/17/2007,719.632
7/18/2007,757.082
7/19/2007,677.886
7/20/2007,1110.422
7/21/2007,1060.248
7/22/2007,1375.774
7/23/2007,991.018
7/24/2007,825.284
7/25/2007,472.56
7/26/2007,924.5
7/27/2007,1202.514
7/28/2007,1621.862
7/29/2007,321.116
7/30/2007,466.816
7/31/2007,812.332
8/1/2007,1060.338
8/2/2007,1019.416
8/3/2007,1063.364
8/4/2007,1144.99
8/5/2007,787.098
8/6/2007,1089.72
8/7/2007,1483.58
8/8/2007,1125.482
8/9/2007,1071.68
8/10/2007,1028.01
8/11/2007,1091.65
8/12/2007,1241.904
8/13/2007,1153.012
8/14/2007,941.19
8/15/2007,1191.86
8/16/2007,958.496
8/17/2007,1009.892
8/18/2007,347.96
8/19/2007,1422.294
8/20/2007,1338.842
8/21/2007,642.556
8/22/2007,1209.808
8/23/2007,1112.312
8/24/2007,1656.214
8/25/2007,1150.88
8/26/2007,1314.906
8/27/2007,1211.73
8/28/2007,997.004
8/29/2007,747.992
8/30/2007,1202.458
8/31/2007,1279.822
9/1/2007,1701.486
9/2/2007,1662.468
